tax	barcode01	barcode02	barcode03	barcode04	barcode05	barcode06	barcode07	barcode08	barcode09	barcode10	barcode11	barcode12	barcode13	barcode14	barcode15	barcode16	barcode17	barcode18	barcode19	barcode20	barcode21	barcode22	barcode23	barcode24	unclassified	total
Bacteria;Bacteria_none;Acidobacteria;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter	28213	345	21467	62888	664	0	0	1	1	23479	0	0	1	0	0	1	0	0	0	0	2	0	0	0	3543	140605
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Pseudolabrys	6073	52	36614	87607	168	0	0	0	0	1646	0	0	0	1	0	0	0	0	1	2	1	0	0	0	3789	135954
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium	7734	31	16041	44558	302	0	0	6	0	6639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2094	77405
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Rhodoplanes	8797	92	8632	43361	269	0	0	1	0	1264	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1666	64084
Bacteria;Bacteria_none;Actinobacteria;Rubrobacteria;Gaiellales;Gaiellaceae;Gaiella	7951	31	13659	31858	85	0	0	2	0	1043	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1631	56263
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	39851	113	1628	2193	199	0	0	3	0	5357	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1170	50516
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Myxococcales;Kofleriaceae;Haliangium	9114	1011	14892	11515	407	0	0	8	3	9403	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1093	47447
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Methylothermalis	4799	75	4695	30520	158	0	0	0	0	1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1309	42813
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Thiovulaceae;Sulfurimonas	2	33300	5	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	33954
Bacteria;Bacteria_none;Acidobacteria;Acidobacteriia;Bryobacterales;Bryobacteraceae;Paludibaculum	4293	325	16358	4425	99	0	0	3	0	4746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	31019
